"X","ministro","ministerio","presidente","correccion_fechadeentrada","correccion_fechadesalida","diferencia_dias","duration_minister_in_yrs","comienzo_administracion","fin_administracion","comienzo_regimen","fin_regimen","x1_administracion","x2_administracion","x1_regimen","x2_regimen","dummy_replacement","tipo_regimen","clasificacion_area","clasificacion_area_amplio","cantidaddevecesqueocupounm","informacion_personal_nacimiento_date","provincia_nacimiento","educacion_educado_en","informacion_profesional_ocupacion","informacion_profesional_partido_politico","informacion_personal_nacimiento_place","informacion_personal_fallecimiento_date","informacion_personal_fallecimiento_place","informacion_personal_nacionalidad","informacion_profesional_miembro_de","informacion_profesional_rama_militar","informacion_profesional_rango_militar","Year"
1,"Guillermo Rawson","interior","Bartolome Mitre",1862-10-12,1868-01-22,1928,5.27857631759069,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1928,264,1928,22872,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1821-06-24","San Juan","Facultad de Medicina, Universidad de Buenos Aires.","Médico, higienista y político.","Partido Nacionalista
","San Juan, Provincias Unidas del Río de la Plata","1890-02-02","París, Francia","Argentina",NA,NA,NA,1862
2,"Rufino de Elizalde","relaciones exteriores","Bartolome Mitre",1862-10-15,1867-09-07,1788,4.8952772073922,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1791,401,1791,23009,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",3,"1822-08-16","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Liberal
(1852-1863)
Partido Nacionalista
(1863-1880)
Partido Liberal
(1880-1887)","Buenos Aires, Argentina","1887-03-13","Buenos Aires, Argentina","Argentina",NA,NA,NA,1862
3,"Marcelino Ugarte","relaciones exteriores","Bartolome Mitre",1867-09-07,1868-01-27,142,0.388774811772758,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1933,259,1933,22867,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1855-05-28","Buenos Aires",NA,"Político","Partido Autonomista Nacional
Partidos Unidos","Buenos Aires (Argentina)","1929-08-06","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1867
4,"Rufino de Elizalde","relaciones exteriores","Bartolome Mitre",1868-01-27,1868-10-12,259,0.709103353867214,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1822-08-16","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Liberal
(1852-1863)
Partido Nacionalista
(1863-1880)
Partido Liberal
(1880-1887)","Buenos Aires, Argentina","1887-03-13","Buenos Aires, Argentina","Argentina",NA,NA,NA,1868
5,"Eduardo Costa","justicia, culto e instrucción pública","Bartolome Mitre",1862-10-15,1867-09-07,1788,4.8952772073922,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1791,401,1791,23009,1,"Democracia","Área político-Institucional","Área Justicia-Otros",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862
6,"José Evaristo Uriburu","justicia, culto e instrucción pública","Bartolome Mitre",1867-09-07,1868-01-27,142,0.388774811772758,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1933,259,1933,22867,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1831-11-19","Salta","Universidad de Buenos AiresUniversidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca","Abogado","Partido Nacionalista
Partido Autonomista Nacional
Unión Cívica Nacional
Partido Republicano
Unión Cívica","Salta, Provincias Unidas del Río de la Plata","1914-10-23","Buenos Aires, Argentina","Argentina",NA,NA,NA,1867
7,"Eduardo Costa","justicia, culto e instrucción pública","Bartolome Mitre",1868-01-27,1868-10-12,259,0.709103353867214,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área político-Institucional","Área Justicia-Otros",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
8,"Juan Andrés Gelly y Obes","guerra y marina","Bartolome Mitre",1862-10-15,1868-01-31,1934,5.29500342231348,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1937,255,1937,22863,1,"Democracia","Área político-Institucional","Área Defensa",1,"1815-05-21","Buenos Aires",NA,"militar","Partido Unitario
Partido Liberal
Partido Nacionalista
Partido Liberal
Unión Cívica
Unión Cívica Nacional","Buenos Aires (Argentina)","1904-09-18","Buenos Aires (Argentina)","Argentina",NA,"Infantería","Teniente general",1862
9,"Wenceslao Paunero","guerra y marina","Bartolome Mitre",1868-01-31,1868-10-12,255,0.698151950718686,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área político-Institucional","Área Defensa",1,"1805-09-28","Córdoba",NA,"Político, diplomático y militar",NA,"Colonia del Sacramento (Virreinato del Río de la Plata)","1871-06-07","Río de Janeiro (Brasil)","Argentina",NA,"Ejército","Brigadier general",1868
10,"Dalmacio Velez Sarfield","hacienda","Bartolome Mitre",1862-10-16,1864-03-02,503,1.37713894592745,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",507,1685,507,24293,1,"Democracia","Área Económica-Productiva","Área Económica",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862
11,"Lucas Gonzalez","hacienda","Bartolome Mitre",1864-03-02,1868-01-27,1426,3.90417522245038,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1933,259,1933,22867,1,"Democracia","Área Económica-Productiva","Área Económica",3,"1819-04-01","Mendoza","Universidad de Chile","Abogado",NA,"Mendoza, Argentina","1908-05-09","Nápoles, Italia","Argentina",NA,NA,NA,1864
12,"Cristobal Aguirre","hacienda","Bartolome Mitre",1868-01-27,1868-10-12,259,0.709103353867214,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área Económica-Productiva","Área Económica",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
13,"Dalmacio Velez Sarfield","interior","Domingo Faustino Sarmiento",1868-10-12,1872-06-27,1354,3.70704996577687,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",1354,837,3546,21254,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
14,"Uladislao Frías","interior","Domingo Faustino Sarmiento",1872-06-27,1874-10-12,837,2.29158110882957,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1821-08-13","Tucumán",NA,"Político, juez y abogado",NA,"Argentina","1899-07-24","Argentina","Argentina",NA,NA,NA,1872
15,"Mariano Varela","relaciones exteriores","Domingo Faustino Sarmiento",1868-10-12,1870-08-18,675,1.84804928131417,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",675,1516,2867,21933,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
16,"Carlos Tejedor","relaciones exteriores","Domingo Faustino Sarmiento",1870-08-18,1874-10-12,1516,4.15058179329227,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1817-11-04","Buenos Aires","Universidad de Buenos AiresColegio Nacional de Buenos Aires","Jurisconsulto","Partido Liberal
Partido Autonomista
Partido Autonomista de Buenos Aires
Partido Liberal (Argentina, 1880)
Unión Cívica Radical","Buenos Aires, Provincias Unidas del Río de la Plata","1903-01-03","Buenos Aires,  Argentina","Argentina",NA,NA,NA,1870
17,"Nicolas Avellaneda","justicia, culto e instrucción pública","Domingo Faustino Sarmiento",1868-10-12,1873-11-24,1869,5.1170431211499,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",1869,322,4061,20739,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1837-10-03","Tucumán","Universidad de Buenos Aires","Abogado","Partido Nacional
Partido Autonomista Nacional","San Miguel de Tucumán, Tucumán,  Confederación Argentina","1885-11-25","A bordo del buque El Congo, en alta mar","Argentina",NA,NA,NA,1868
18,"Juan Crisostomo Albarracín","justicia, culto e instrucción pública","Domingo Faustino Sarmiento",1873-11-24,1874-10-12,322,0.881587953456537,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área político-Institucional","Área Justicia-Otros",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873
19,"Martín Gainza","guerra y marina","Domingo Faustino Sarmiento",1868-10-12,1874-10-12,2191,5.99863107460643,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área político-Institucional","Área Defensa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
20,"Benjamín Gorostiaga","hacienda","Domingo Faustino Sarmiento",1868-10-12,1870-10-14,732,2.0041067761807,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",732,1459,2924,21876,1,"Democracia","Área Económica-Productiva","Área Económica",1,"1823-03-26","Santiago del Estero","Universidad de Buenos Aires","Abogado","Partido Nacionalista (mitrismo)","Santiago del Estero, Argentina","1891-10-03","Buenos Aires, Argentina","Argentina",NA,NA,NA,1868
21,"Cristobal Aguirre","hacienda","Domingo Faustino Sarmiento",1870-10-14,1871-02-11,120,0.328542094455852,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",852,1339,3044,21756,1,"Democracia","Área Económica-Productiva","Área Económica",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1870
22,"Luis L. Dominguez","hacienda","Domingo Faustino Sarmiento",1871-02-11,1874-02-23,1108,3.03353867214237,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",1960,231,4152,20648,1,"Democracia","Área Económica-Productiva","Área Económica",1,"1819-03-15","Buenos Aires",NA,"Periodista, historiador, escritor, economista, diplomático y político",NA,"Buenos Aires (Argentina)","1898-07-20","Londres (Reino Unido de Gran Bretaña e Irlanda)","Argentina",NA,NA,NA,1871
23,"Santiago Cortinez","hacienda","Domingo Faustino Sarmiento",1874-02-23,1874-10-12,231,0.632443531827515,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área Económica-Productiva","Área Económica",4,"1831-03-01","San Juan",NA,"Político",NA,"San Juan (Argentina)","1886-12-01","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1874
24,"Simon de Iriondo","interior","Nicolas Avellaneda",1874-10-12,1878-05-08,1304,3.57015742642026,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1304,888,5687,19113,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1836-10-28","Santa Fe",NA,"Abogado","Partido Autonomista","Argentina","1883-11-30","Argentina","Argentina",NA,NA,NA,1874
25,"Saturnino Laspiur","interior","Nicolas Avellaneda",1878-05-08,1879-08-25,474,1.29774127310062,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1778,414,6161,18639,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1829-10-15","San Juan","Universidad Nacional de Córdoba","AbogadoJuezPolítico",NA,"San Juan, Argentina","1885-08-26","Buenos Aires, Argentina","Argentina",NA,NA,NA,1878
26,"Héctor Alvarez","interior","Nicolas Avellaneda",1879-08-25,1879-09-01,7,0.0191649555099247,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1785,407,6168,18632,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879
27,"Domingo F. Sarmiento","interior","Nicolas Avellaneda",1879-09-01,1879-10-09,38,0.10403832991102,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1823,369,6206,18594,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1811-02-15","San Juan",NA,"Docente, político, escritor","Partido Unitario
Partido Liberal","San Juan (Provincias Unidas, actual Argentina)","1888-09-11","Asunción (Paraguay)","Argentina",NA,"Ejército Argentino","General de división[1]​",1879
28,"Benjamín Zorrilla","interior","Nicolas Avellaneda",1879-10-09,1880-10-13,370,1.01300479123888,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",2193,-1,6576,18224,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",2,"1840-03-25","Salta",NA,"Político",NA,"Sucre, Bolivia","1896-07-25","Buenos Aires, Argentina","Argentina",NA,NA,NA,1879
29,"Pedro A. Pardo","relaciones exteriores","Nicolas Avellaneda",1874-10-12,1875-08-03,295,0.80766598220397,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",295,1897,4678,20122,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1829-12-17","Salta","Universidad de Buenos Aires","Médico",NA,"Salta, Argentina","1889-02-05","Lisboa, Reino de Portugal","Argentina",NA,NA,NA,1874
30,"Bernardo de Yrigoyen","relaciones exteriores","Nicolas Avellaneda",1875-08-03,1877-10-03,792,2.16837782340862,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1087,1105,5470,19330,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1875
31,"Rufino de Elizalde","relaciones exteriores","Nicolas Avellaneda",1877-10-03,1878-05-09,218,0.596851471594798,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1305,887,5688,19112,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",3,"1822-08-16","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Liberal
(1852-1863)
Partido Nacionalista
(1863-1880)
Partido Liberal
(1880-1887)","Buenos Aires, Argentina","1887-03-13","Buenos Aires, Argentina","Argentina",NA,NA,NA,1877
32,"Manuel Augusto Montes de Oca","relaciones exteriores","Nicolas Avellaneda",1878-05-09,1879-10-09,518,1.41820670773443,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1823,369,6206,18594,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",3,"1867-06-26","Buenos Aires","Universidad de Buenos Aires","Abogado",NA,"Buenos Aires, Argentina","1934-01-27","Buenos Aires, Argentina","Argentina","Academia Nacional de Ciencias Económicas (Argentina)Academia Nacional de la Historia de la República Argentina",NA,NA,1878
33,"Lucas Gonzalez","relaciones exteriores","Nicolas Avellaneda",1879-10-09,1880-10-13,370,1.01300479123888,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",2193,-1,6576,18224,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",3,"1819-04-01","Mendoza","Universidad de Chile","Abogado",NA,"Mendoza, Argentina","1908-05-09","Nápoles, Italia","Argentina",NA,NA,NA,1879
34,"Onesimo Leguizamon","justicia, culto e instrucción pública","Nicolas Avellaneda",1874-10-13,1877-10-04,1087,2.97604380561259,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1088,1104,5471,19329,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1839-02-15","Entre Ríos","Universidad de Buenos Aires","Abogado, periodista y político",NA,"Gualeguay, Argentina","1886-08-20","Buenos Aires, Argentina","Argentina","Instituto de Derecho Internacional (desde 1877)",NA,NA,1874
35,"José María Gutierrez","justicia, culto e instrucción pública","Nicolas Avellaneda",1877-10-04,1878-05-09,217,0.594113620807666,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1305,887,5688,19112,1,"Democracia","Área político-Institucional","Área Justicia-Otros",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877
36,"Bonifacio Lastra","justicia, culto e instrucción pública","Nicolas Avellaneda",1878-05-09,1879-10-10,519,1.42094455852156,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1824,368,6207,18593,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1845-01-01","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Autonomista Nacional","Buenos Aires, Argentina","1896-07-20","Buenos Aires, Argentina","Argentina",NA,NA,NA,1878
37,"Miguel Goyena","justicia, culto e instrucción pública","Nicolas Avellaneda",1879-10-10,1880-10-13,369,1.01026694045175,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",2193,-1,6576,18224,0,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1844-10-31","Buenos Aires","Universidad de Buenos Aires","Militar y político",NA,"Buenos Aires, Argentina","1920-10-24","Morón, Provincia de Buenos Aires, Argentina","Argentino",NA,NA,NA,1879
38,"Adolfo Alsina","guerra y marina","Nicolas Avellaneda",1874-10-12,1878-04-22,1288,3.52635181382615,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1288,904,5671,19129,1,"Democracia","Área político-Institucional","Área Defensa",1,"1829-01-04","Buenos Aires",NA,"Abogado, Militar","Partido Liberal
Partido Autonomista
Partido Autonomista Nacional","Buenos Aires (Argentina)","1877-12-29","Carhué (Argentina)","Argentina",NA,NA,NA,1874
39,"Julio A. Roca","guerra y marina","Nicolas Avellaneda",1878-04-22,1879-10-09,535,1.46475017111567,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",1823,369,6206,18594,1,"Democracia","Área político-Institucional","Área Defensa",2,"1843-07-17","Tucumán","Colegio del Uruguay","Oficial militar, diplomático y político","Partido Autonomista Nacional","San Miguel de Tucumán (Argentina)","1914-10-19","Buenos Aires (Argentina)","Argentina",NA,"Ejército Argentino","Teniente general",1878
40,"Carlos Pellegrini","guerra y marina","Nicolas Avellaneda",1879-10-09,1880-10-13,370,1.01300479123888,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",2193,-1,6576,18224,0,"Democracia","Área político-Institucional","Área Defensa",2,"1846-10-11","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Autonomista Nacional
Partido Autonomista","Buenos Aires, Argentina","1906-07-17","Buenos Aires, Argentina","Argentino",NA,"Ejército Argentino","Teniente primero",1879
41,"Santiago Cortinez","hacienda","Nicolas Avellaneda",1874-10-12,1875-10-02,355,0.971937029431896,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",355,1837,4738,20062,1,"Democracia","Área Económica-Productiva","Área Económica",4,"1831-03-01","San Juan",NA,"Político",NA,"San Juan (Argentina)","1886-12-01","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1874
42,"Lucas Gonzalez","hacienda","Nicolas Avellaneda",1875-10-02,1876-05-22,233,0.63791923340178,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",588,1604,4971,19829,1,"Democracia","Área Económica-Productiva","Área Económica",3,"1819-04-01","Mendoza","Universidad de Chile","Abogado",NA,"Mendoza, Argentina","1908-05-09","Nápoles, Italia","Argentina",NA,NA,NA,1875
43,"Norberto de la Riestra","hacienda","Nicolas Avellaneda",1876-05-22,1876-08-31,101,0.276522929500342,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",689,1503,5072,19728,1,"Democracia","Área Económica-Productiva","Área Económica",1,"1820-06-06","Buenos Aires",NA,"Economista",NA,"San Antonio de Areco, Argentina","1879-07-03","Buenos Aires, Argentina","Argentina",NA,NA,NA,1876
44,"Victorino de la Plaza","hacienda","Nicolas Avellaneda",1876-08-31,1880-05-08,1346,3.68514715947981,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",2035,157,6418,18382,1,"Democracia","Área Económica-Productiva","Área Económica",3,"1840-11-02","Salta","Facultad de Derecho, Universidad de Buenos Aires","Abogado","Partido Autonomista Nacional
Unión Nacional","Payogasta (Argentina)","1919-10-02","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1876
45,"Santiago Cortinez","hacienda","Nicolas Avellaneda",1880-05-08,1880-10-13,158,0.432580424366872,"1874-10-12","1880-10-12","1862-10-12","1930-09-06",2193,-1,6576,18224,0,"Democracia","Área Económica-Productiva","Área Económica",4,"1831-03-01","San Juan",NA,"Político",NA,"San Juan (Argentina)","1886-12-01","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1880
46,"Antonio del Viso","interior","Julio A. Roca 1",1880-10-13,1885-06-09,1700,4.65434633812457,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",1701,490,8276,16524,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1830-02-10","Córdoba",NA,"Abogado","Partido Autonomista Nacional","Córdoba, Argentina","1904-03-11","Roma, Italia","Argentina",NA,NA,NA,1880
47,"Benjamín Paz","interior","Julio A. Roca 1",1885-06-09,1886-04-12,307,0.840520191649555,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",2008,183,8583,16217,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1836-03-31","Tucumán","Universidad Nacional de Córdoba","Abogado",NA,"San Miguel de Tucumán, Argentina","1902-11-08","Buenos Aires, Argentina","Argentina",NA,NA,NA,1885
48,"Isaac Olavarría","interior","Julio A. Roca 1",1886-04-12,1886-10-13,184,0.503764544832307,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",2192,-1,8767,16033,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886
49,"Bernardo de Yrigoyen","relaciones exteriores","Julio A. Roca 1",1880-10-13,1882-02-14,489,1.3388090349076,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",490,1701,7065,17735,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880
50,"Victorino de la Plaza","relaciones exteriores","Julio A. Roca 1",1882-02-14,1883-10-25,618,1.69199178644764,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",1108,1083,7683,17117,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",3,"1840-11-02","Salta","Facultad de Derecho, Universidad de Buenos Aires","Abogado","Partido Autonomista Nacional
Unión Nacional","Payogasta (Argentina)","1919-10-02","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1882
51,"Francisco Ortiz","relaciones exteriores","Julio A. Roca 1",1883-10-25,1886-10-13,1084,2.9678302532512,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",2192,-1,8767,16033,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883
52,"Manuel D. Pizarro","justicia, culto e instrucción pública","Julio A. Roca 1",1880-10-13,1882-02-14,489,1.3388090349076,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",490,1701,7065,17735,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1841-04-09","Córdoba","Universidad de Buenos Aires (Doc.)","Político, juez y abogado","Partido Autonomista Nacional","Córdoba (Argentina)","1909-10-16","Córdoba (Argentina)","Argentina",NA,NA,NA,1880
53,"Eduardo Wilde","justicia, culto e instrucción pública","Julio A. Roca 1",1882-02-14,1886-10-13,1702,4.65982203969884,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",2192,-1,8767,16033,0,"Democracia","Área político-Institucional","Área Justicia-Otros",2,"1844-06-15",NA,"Facultad de Ciencias Médicas (UBA)","Diplomático, político, profesor universitario, escritor y médico",NA,"Tupiza (Bolivia)","1913-09-05","Bruselas (Bélgica)","Argentina y boliviana","Academia Nacional de Medicina de Argentina",NA,NA,1882
54,"Benjamín Victorica","guerra y marina","Julio A. Roca 1",1880-10-13,1885-09-28,1811,4.95824777549624,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",1812,379,8387,16413,1,"Democracia","Área político-Institucional","Área Defensa",2,"1831-09-14","Buenos Aires","Universidad de Buenos Aires","abogado y militar","Partido Autonomista Nacional","Buenos Aires, Argentina","1913-01-27","Buenos Aires, Argentina","Argentina",NA,"Ejército Argentino","General de brigada",1880
55,"Carlos Pellegrini","guerra y marina","Julio A. Roca 1",1885-09-28,1886-10-13,380,1.0403832991102,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",2192,-1,8767,16033,0,"Democracia","Área político-Institucional","Área Defensa",2,"1846-10-11","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Autonomista Nacional
Partido Autonomista","Buenos Aires, Argentina","1906-07-17","Buenos Aires, Argentina","Argentino",NA,"Ejército Argentino","Teniente primero",1885
56,"Santiago Cortinez","hacienda","Julio A. Roca 1",1880-10-18,1881-05-09,203,0.555783709787817,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",209,1982,6784,18016,1,"Democracia","Área Económica-Productiva","Área Económica",4,"1831-03-01","San Juan",NA,"Político",NA,"San Juan (Argentina)","1886-12-01","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1880
57,"Juan José Romero","hacienda","Julio A. Roca 1",1881-05-09,1885-03-10,1401,3.83572895277207,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",1610,581,8185,16615,1,"Democracia","Área Económica-Productiva","Área Económica",3,"1842-01-01","Buenos Aires","Colegio Nacional de Buenos Aires","Abogado",NA,"Buenos Aires, Argentina","1915-01-01","Buenos Aires, Argentina","Argentina",NA,NA,NA,1881
58,"Wenceslao Pacheco","hacienda","Julio A. Roca 1",1885-03-10,1886-10-13,582,1.59342915811088,"1880-10-12","1886-10-12","1862-10-12","1930-09-06",2192,-1,8767,16033,0,"Democracia","Área Económica-Productiva","Área Económica",4,"1838-09-28","Mendoza","Universidad de Buenos Aires","abogado","Partido Autonomista Nacional","Mendoza, Argentina","1899-12-19","Buenos Aires, Argentina","Argentina",NA,NA,NA,1885
59,"Eduardo Wilde","interior","Miguel Juarez Celman",1886-10-13,1889-03-01,870,2.38193018480493,"1886-10-12","1890-08-06","1862-10-12","1930-09-06",871,523,9637,15163,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",2,"1844-06-15",NA,"Facultad de Ciencias Médicas (UBA)","Diplomático, político, profesor universitario, escritor y médico",NA,"Tupiza (Bolivia)","1913-09-05","Bruselas (Bélgica)","Argentina y boliviana","Academia Nacional de Medicina de Argentina",NA,NA,1886
60,"Wenceslao Pacheco","interior","Miguel Juarez Celman",1889-03-01,1889-08-28,180,0.492813141683778,"1886-10-12","1890-08-06","1862-10-12","1930-09-06",1051,343,9817,14983,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",4,"1838-09-28","Mendoza","Universidad de Buenos Aires","abogado","Partido Autonomista Nacional","Mendoza, Argentina","1899-12-19","Buenos Aires, Argentina","Argentina",NA,NA,NA,1889
61,"Norberto Quirno Costa","interior","Miguel Juarez Celman",1889-08-28,1890-04-18,233,0.63791923340178,"1886-10-12","1890-08-06","1862-10-12","1930-09-06",1284,110,10050,14750,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",5,"1844-07-18","Buenos Aires","Universidad de Buenos AiresColegio Nacional de Buenos Aires","Abogado","Partido Nacionalista
Partido Liberal
Partido Autonomista Nacional","Buenos Aires (Argentina)","1915-03-02","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1889
62,"Salustiano Zavalía","interior","Miguel Juarez Celman",1890-04-18,1890-08-07,111,0.303901437371663,"1886-10-12","1890-08-06","1862-10-12","1930-09-06",1395,-1,10161,14639,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1806-06-06","Tucumán","Universidad Nacional de Córdoba","Abogado","Unitario","Argentina","1873-01-16","Argentina","Argentina",NA,NA,NA,1890
